course_code (reference),student_id,student_name (reference),assessment_id,assessment_name (reference),max_marks (reference),obtained_marks
CSE301,11,Irfan Molla,6,Quiz 3 - Trees,10.0,6.4
CSE301,11,Irfan Molla,7,Final Exam,40.0,28.7
CSE301,12,Joya Sultana,1,Quiz 1 - Arrays,10.0,6.3
CSE301,12,Joya Sultana,2,Quiz 2 - Linked Lists,10.0,7.8
CSE301,12,Joya Sultana,3,Assignment 1 - Big-O,20.0,12.9
CSE301,12,Joya Sultana,4,Midterm Exam,30.0,21.7
CSE301,12,Joya Sultana,5,Assignment 2 - Sorting,20.0,12.1
CSE301,12,Joya Sultana,6,Quiz 3 - Trees,10.0,7.8
CSE301,12,Joya Sultana,7,Final Exam,40.0,26.1
CSE301,13,Test Student,1,Quiz 1 - Arrays,10.0,7.4
CSE301,13,Test Student,2,Quiz 2 - Linked Lists,10.0,7.9
CSE301,13,Test Student,3,Assignment 1 - Big-O,20.0,15.3
CSE301,13,Test Student,4,Midterm Exam,30.0,20.0
CSE301,13,Test Student,5,Assignment 2 - Sorting,20.0,14.4
CSE301,13,Test Student,6,Quiz 3 - Trees,10.0,6.4
CSE301,13,Test Student,7,Final Exam,40.0,26.2
